"sku","name","category","subcategory","price","currency","stock_quantity","materials","colors","dimensions_length","dimensions_width","dimensions_height","dimensions_unit","packaging_dimensions","min_doorway_clearance","assembly_required","weight_capacity","customization_options","bulk_discount_threshold","description","care_instructions","warranty_info","return_policy","shipping_info","permalink","image_urls"
"01-2604","Furniture Nob Kids Star 32mm White","Hardware","Hardware Hardware",160.0,"BDT",5,"","White","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","","","","","","https://leadingedge.com.bd/product/furniture-nob-kids-star-32mm-white/",""
"01-2605","Furniture Drawer Nob Silver |","Hardware","Furniture Hardware",95.0,"BDT",5,"Metal, Wood","Silver","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","Furniture Drawer Nob Silver | 01-2605 The Furniture Drawer Knob (01-2605) is a modern architectural hardware piece designed to add a clean, geometric touch to contemporary cabinetry. Featuring a sophisticated rectangular profile with a distinctive beveled ""pyramid"" face, this knob combines industrial strength with a refined aesthetic. Manufactured from high-grade Metal , it is engineered to provide a solid, high-quality tactile feel and exceptional durability for frequent daily use. The Silver color is complemented by a smooth, professional finish that coordinates effortlessly with various wood grains, laminates, and solid-color furniture surfaces. Its compact dimensions make it an ideal choice for kitchen drawers, office storage units, and modern wardrobe doors where a sleek, minimalist hardware detail is desired. Key Features: Modern Geometric Profile: Features a sharp rectangular design with a faceted face that creates a dynamic, architectural look on furniture fronts. Superior Metal Construction: Crafted from high-density metal to ensure structural integrity and long-term resistance to wear. Ergonomic Grip: The beveled edges and sturdy stem are designed to provide a comfortable and secure hold for effortless drawer operation. Sophisticated Silver Finish: The premium silver coating offers a clean, non-reflective aesthetic that hides smudges and maintains a high-end appearance. Versatile Sizing: Perfectly proportioned for diverse applications, from delicate bedside drawers to larger office cabinets.","","","","","https://leadingedge.com.bd/product/furniture-drawer-nob-43-x-23-mm-silver-01-2605/","https://leadingedge.com.bd/wp-content/uploads/2021/06/Untitled-1-43.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/06/Untitled-2-29.jpg"
"01-2606","Funiture Drawer Nob 6212 Big Black","Hardware","Furniture Hardware",65.0,"BDT",5,"","Black","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","","","","","","https://leadingedge.com.bd/product/funiture-drawer-nob-6212-big-black/",""
"01-2607","Furniture Drawer Push Nob 30mm Silver","Hardware","Furniture Hardware",210.0,"BDT",5,"Stainless Steel","Silver","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","","","","","","https://leadingedge.com.bd/product/furniture-drawer-push-nob-30mm-silver/",""
"01-2608","Funiture Drawer Nob","Hardware","Furniture Hardware",62.0,"BDT",5,"Metal","White","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","Funiture Drawer Nob 01-2608 Brighten your furniture with the clean and timeless appeal of our Classic Mushroom Furniture Knob . This elegantly designed knob features a traditional domed profile accented by a sophisticated golden ring, providing a perfect blend of minimalist charm and modern luxury for any cabinetry. Key Features: Timeless Domed Silhouette: The smooth, mushroom-shaped design offers a comfortable grip and a classic look that fits perfectly in both modern and traditional settings. Refined Golden Inlay: A subtle golden ring circles the top of the knob, adding a touch of high-end contrast against the pristine white surface. Premium Metal Build: Constructed from high-quality metal for superior durability and a substantial feel, ensuring it can withstand heavy daily use on drawers and cabinets. Elegant Matte Finish: The velvety matte white finish provides a fresh, clean look that is resistant to fingerprints and easy to maintain. Versatile Decor Appeal: Its bright and neutral aesthetic makes it an ideal choice for nursery furniture, kitchen cabinets, or bedroom vanities.","","","","","https://leadingedge.com.bd/product/funiture-drawer-nob6209-white-01-2608/","https://leadingedge.com.bd/wp-content/uploads/2021/04/01-2608.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/03/Screenshot_1.png"
"01-2609","Funiture Drawer Nob23605 Black","Hardware","Furniture Hardware",160.0,"BDT",5,"","Black","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","","","","","","https://leadingedge.com.bd/product/funiture-drawer-nob23605-black/",""
"01-2610","Furniture Handle 523 Roll Up 35mm SS","Hardware","Door Handle",95.0,"BDT",5,"Stainless Steel","","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","","","","","","https://leadingedge.com.bd/product/furniture-handle-523-roll-up-35mm-ss/",""
"01-2611","Funiture Drawer Nob","Hardware","Furniture Hardware",155.0,"BDT",5,"Metal","Black","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","Funiture Drawer Nob 01-2611 Introduce a touch of sophisticated texture to your cabinetry with our Executive Square Furniture Knob . This uniquely designed hardware piece features a bold architectural square profile paired with a premium textured inlay, offering a masterclass in modern luxury and industrial refinement. Key Features: Modern Square Profile: The sharp, clean edges and geometric form provide a strong contemporary presence that elevates any furniture piece from standard to designer-grade. Textured Inlay Detail: Featuring a distinctive leather-grain effect inlay on the top surface, this knob provides a rich tactile experience and a sophisticated matte-on-matte visual appeal. Premium Metal Construction: Crafted from high-quality metal with a substantial feel, ensuring industrial-strength durability and a premium weight that reflects its superior craftsmanship. Fingerprint Resistant Finish: The specialized black finish is designed to maintain its clean, executive look even with frequent daily use, making it perfect for high-traffic drawers and office units. Versatile Decor Statement: Its bold yet neutral aesthetic makes it an ideal choice for luxury wardrobes, home office desks, or modern kitchen cabinetry.","","","","","https://leadingedge.com.bd/product/furniture-drawer-knob7609-s-black-01-2611/","https://leadingedge.com.bd/wp-content/uploads/2021/06/012611.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/06/IMG_20210704_131358.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/06/IMG_20210704_131404.jpg"
"01-2612","Funiture Drawer Nob Gold","Hardware","Furniture Hardware",100.0,"BDT",5,"Metal","Gold","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","Funiture Drawer Nob Gold 01-2612 Introduce a touch of timeless geometric elegance to your cabinetry with our Architectural Rectangular Furniture Knob . This designer hardware piece features a sophisticated stepped-edge profile that perfectly balances classical structural elements with a clean, modern aesthetic, making it an ideal accent for luxury furniture. Key Features: Sophisticated Stepped Design: The meticulously crafted tiered edges provide a three-dimensional, architectural look that catches the light beautifully and adds depth to your cabinet doors and drawers. Premium Gold Finish: Featuring a warm, luxurious golden hue with a refined satin-matte texture, this knob offers a high-end feel that is resistant to fingerprints and maintains its luster over time. High-Grade Metal Construction: Built from superior metal for a substantial weight and industrial-strength durability, ensuring it can withstand heavy daily use on wardrobes and kitchen units. Ergonomic Rectangular Grip: The elongated flat-top surface provides a solid and comfortable grip, offering better leverage than standard round knobs for effortless operation. Versatile Luxury Appeal: Its grand yet minimalist silhouette makes it a perfect match for neoclassical, transitional, or high-end contemporary interior styles.","","","","","https://leadingedge.com.bd/product/furniture-drawer-knob7365-gold-01-2612/","https://leadingedge.com.bd/wp-content/uploads/2021/06/01-8.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/06/02-8.jpg"
"01-2613","Furniture Drawer Nob Gold","Hardware","Furniture Hardware",130.0,"BDT",5,"Metal","Gold","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","Furniture Drawer Nob Gold 01-2613 Introduce a masterclass in modern geometry to your cabinetry with our Contemporary U-Shape Furniture Knob . This designer hardware piece features a bold, architectural cutout profile that breaks away from traditional shapes, offering a high-end, minimalist accent for luxury furniture. Key Features: Unique Architectural Silhouette: The distinct U-shaped cutout provides a striking visual identity, creating a sophisticated play of negative space on your cabinet doors and drawers. Premium Gold Finish: Featuring a warm, luxurious golden hue with a refined satin-matte texture, this knob offers an elegant metallic glow that is resistant to fingerprints and daily wear. High-Grade Metal Construction: Built from superior metal for a substantial feel and long-lasting durability, ensuring it remains a centerpiece of your decor for years. Ergonomic Grip Design: The wide, flat bridge is engineered for a comfortable and secure grip, providing excellent leverage for effortless operation of drawers and wardrobes. Versatile Modern Appeal: Its bold yet balanced form makes it an ideal choice for high-end kitchen cabinetry, designer wardrobes, or contemporary office storage.","","","","","https://leadingedge.com.bd/product/furniture-drawer-knob-5219-32-mm-gold-01-2613/","https://leadingedge.com.bd/wp-content/uploads/2021/06/02-9.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/06/01-9.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/06/03-5.jpg"
"01-2614","Furniture Drawer Nob22610 Black","Hardware","Furniture Hardware",65.0,"BDT",5,"","Black","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","","","","","","https://leadingedge.com.bd/product/furniture-drawer-nob22610-black/",""
"01-2615","Furniture Handle 522 Roll Up 40*40mm AB","Hardware","Door Handle",95.0,"BDT",5,"","","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","","","","","","https://leadingedge.com.bd/product/furniture-handle-522-roll-up-40-40mm-ab/",""
"01-2616","Furniture Drawer Knob7306, Gold","Hardware","Furniture Hardware",195.0,"BDT",5,"","Gold","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","Furniture Drawer Knob7306, Gold 01-2616","","","","","https://leadingedge.com.bd/product/furniture-drawer-knob7306-gold-01-2616/",""
"01-2617","Furniture Drawer Nob9017～32mm Gold","Hardware","Furniture Hardware",260.0,"BDT",5,"","Gold","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","","","","","","https://leadingedge.com.bd/product/furniture-drawer-nob9017-32mm-gold/",""
"01-2618","Furniture Drawer Nob65226 Black","Hardware","Furniture Hardware",125.0,"BDT",5,"","Black","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","","","","","","https://leadingedge.com.bd/product/furniture-drawer-nob65226-black/",""
"01-2619","Furniture Handle 128mm Matt Black","Hardware","Door Handle",610.0,"BDT",5,"","Black","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","","","","","","https://leadingedge.com.bd/product/furniture-handle-128mm-matt-black/",""
"01-2620","Furniture Handle 128mm Matt Black","Hardware","Door Handle",335.0,"BDT",5,"","Black","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","","","","","","https://leadingedge.com.bd/product/furniture-handle-128mm-matt-black/",""
"01-2621","Furniture Handle 128mm BMW-Gray","Hardware","Door Handle",410.0,"BDT",5,"","Grey","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","","","","","","https://leadingedge.com.bd/product/furniture-handle-128mm-bmw-gray/",""
"01-2622","Furniture Handle 128mm Matt Black","Hardware","Door Handle",610.0,"BDT",5,"","Black","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","","","","","","https://leadingedge.com.bd/product/furniture-handle-128mm-matt-black/",""
"01-2623","Furniture Handle 128mm Matt Black","Hardware","Door Handle",725.0,"BDT",5,"","Black","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","","","","","","https://leadingedge.com.bd/product/furniture-handle-128mm-matt-black/",""
"01-2624","Furniture Handle 128mm Matt Black","Hardware","Door Handle",775.0,"BDT",5,"","Black","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","","","","","","https://leadingedge.com.bd/product/furniture-handle-128mm-matt-black/",""
"01-2625","Furniture Handle 128-150mm Brush Vifa Gold","Hardware","Door Handle",445.0,"BDT",5,"","Gold","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","","","","","","https://leadingedge.com.bd/product/furniture-handle-128-150mm-brush-vifa-gold/",""
"01-2626","Furniture Handle 128mm Matt Black","Hardware","Door Handle",645.0,"BDT",5,"Brass","Black","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","","","","","","https://leadingedge.com.bd/product/furniture-handle-128mm-matt-black/",""
"01-2627","Furniture Handle 128mm Brass Hair Line","Hardware","Door Handle",285.0,"BDT",5,"Brass","Black","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","","","","","","https://leadingedge.com.bd/product/furniture-handle-128mm-brass-hair-line/",""
"01-2628","Furniture Handle 128mm Brass Hair Line","Hardware","Door Handle",315.0,"BDT",5,"Brass","Black","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","","","","","","https://leadingedge.com.bd/product/furniture-handle-128mm-brass-hair-line/",""
"01-2629","Furniture Handle 128mm Brass Hair Line","Hardware","Door Handle",445.0,"BDT",5,"Brass","Black","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","","","","","","https://leadingedge.com.bd/product/furniture-handle-128mm-brass-hair-line/",""
"01-2630","Furniture Drawer Nob","Hardware","Furniture Hardware",175.0,"BDT",5,"Aluminium, Brass","","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","Furniture Drawer Nob 01-2630 Add a touch of refined luxury to your cabinetry with our Elegant T-Knob Furniture Pull . This designer knob features a sophisticated pill-shaped profile that perfectly balances soft curves with a modern, high-end metallic finish. It is the ideal hardware choice for those looking to upgrade their furniture with a piece that is both artistic and functional. Key Features: Softened Geometric Profile: The smooth, elongated T-shape with rounded ends provides a graceful aesthetic that eliminates sharp corners, making it safe and comfortable for daily use. Premium Brass Hair Line Finish: Featuring a stunning Brass Hair Line texture, this knob offers a warm golden glow with a fine brushed surface that resists fingerprints and adds instant elegance to any drawer or door. High-Grade Aluminium Build: Crafted from superior aluminium for a lightweight feel and heavy-duty durability. It is naturally resistant to corrosion, ensuring it remains a centerpiece of your decor for years. Ergonomic Single-Post Grip: The sturdy central post provides excellent leverage and a secure grip, making it effortless to open drawers, bedside tables, or vanity units. Versatile Decor Appeal: Its minimalist yet luxurious design allows it to blend seamlessly into contemporary, mid-century modern, or transitional interior styles.","","","","","https://leadingedge.com.bd/product/furniture-drawer-nob-01-2630/","https://leadingedge.com.bd/wp-content/uploads/2025/05/01-2630.jpg"
"01-2631","Furniture Drawer Nob4266-K Brass Hair Line","Hardware","Furniture Hardware",175.0,"BDT",5,"Brass","","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","","","","","","https://leadingedge.com.bd/product/furniture-drawer-nob4266-k-brass-hair-line/",""
"01-2632","Furniture Handle 3527/64mm Gold+Clear","Hardware","Door Handle",175.0,"BDT",5,"","Clear, Gold","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","","","","","","https://leadingedge.com.bd/product/furniture-handle-3527-64mm-gold-clear/",""
"01-2701","Door Stopper, SN, Flat, Round, Kinlong","Table","Table Top",1155.0,"BDT",5,"Stainless Steel","",1.7,1.6,"","inches","4 x 4 x 2 inches","","No - Fully assembled.","","","","Door Stopper, SN, Flat, Round, Kinlong 01-2701","","","","","https://leadingedge.com.bd/product/door-stopper-sn-flat-round-kinlong-01-2701/","https://leadingedge.com.bd/wp-content/uploads/2021/06/Capture1-5.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/06/Capture3-2.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/06/Magnet-Door-Stops-Stainless-Steel-Door-Stopper-Magnetic-Door-Holder-Toilet-Glass-Door-Hidden-Doorstop-Furniture-min.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/06/Wholesale-10peices-modern-Stainless-Steel-304-Magnetic-Door-Stopper-conceal-magnetic-door-Stop-Floor-Magnetic-Catch-min.jpg"
"01-2701-1","Door Stopper, SN, Floor, 40 mm, Kinlong 01-2701","Table","Table Top",0.0,"BDT",5,"","","","","","inches","","","No - Fully assembled.","","","","Door Stopper, SN, Floor, 40 mm, Kinlong 01-2701","","","","","https://leadingedge.com.bd/product/door-stopper-sn-floor-40-mm-kinlong-01-2701/","https://leadingedge.com.bd/wp-content/uploads/2021/06/IMG_20190527_173927.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/06/IMG_20190527_173846-scaled.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/06/IMG_20190527_173956-scaled.jpg"
"01-2701-2","Door Stopper SS Matt | 01-2701","Table","Table Top",475.0,"BDT",5,"Glass, Stainless Steel","","","","","inches","","","No - Fully assembled.","","","","Door Stopper SS Matt | 01-2701 The Floor Mounted Door Stopper (01-2701) is a high-durability hardware solution designed to protect walls and glass panels from impact damage. Manufactured from premium Stainless Steel , this stopper is engineered to withstand high-traffic use while offering exceptional resistance to moisture, making it an ideal choice for both standard interior rooms and specialized bathroom shower enclosures. Its compact, cylindrical architectural design features a sleek SS Matt finish that provides a sophisticated, non-reflective look. Whether utilized as a traditional floor buffer or integrated into a glass shower partition system, this stopper ensures a silent and cushioned stop, maintaining the structural integrity of your doors and hardware over time. Key Features: Premium Stainless Steel Build: Crafted from high-grade SS to ensure a rust-proof performance and superior longevity in humid environments. Heavy-Duty Floor Mount: Designed for stable, permanent installation on various floor surfaces to provide a reliable stopping point for heavy doors. Versatile Bathroom Application: Specifically suitable for use with shower glass doors and enclosures as a protective buffer. Architectural Matte Finish: Features a contemporary matte texture that resists fingerprints and complements modern minimalist interiors. Precision Engineering: Built with a compact 42x40x29 mm profile to offer maximum protection with a minimal visual footprint.","","","","","https://leadingedge.com.bd/product/door-stopper-ss-matt-42-x-40-x-29-mm-01-2701/","https://leadingedge.com.bd/wp-content/uploads/2021/06/IMG_20190527_173927.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/06/IMG_20190527_173846-scaled.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/06/IMG_20190527_173956-scaled.jpg"
"01-2701-3","Door Stopper, SN, Floor + Wall, Kinlong, 60 mm 01-2701","Table","Table Top",0.0,"BDT",5,"","","","","","inches","","","No - Fully assembled.","","","","Door Stopper, SN, Floo r+ Wall, Kinlong, 60mm 01-2701","","","","","https://leadingedge.com.bd/product/door-stopper-sn-floor-wall-kinlong-60-mm-01-2701/","https://leadingedge.com.bd/wp-content/uploads/2021/06/IMG_20190527_173624-scaled.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/06/IMG_20190527_173608-scaled.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/06/IMG_20190527_173657-scaled.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/06/IMG_20190527_173717-scaled.jpg"
"01-2702","Door Stopper Magnet SS Half Round |","Table","Table Top",160.0,"BDT",5,"Stainless Steel","","","","","inches","","","No - Fully assembled.","","","","Door Stopper Magnet SS Half Round | 01-2702 The Magnet Door Stopper Half Round (01-2702) is a premium hardware accessory designed to provide both impact protection and a reliable hold-open function for interior doors. Manufactured from high-grade Stainless Steel (SS) , this stopper features a low-profile, semi-spherical architectural design that minimizes trip hazards while maximizing durability. The integrated heavy-duty magnet ensures that once the door makes contact, it is held firmly in place, preventing accidental closing due to wind or drafts. Equipped with a high-density rubber buffer, it effectively cushions the impact, protecting both the door surface and the wall from structural damage. Its sleek, natural metallic finish makes it an ideal choice for modern residential homes and high-end commercial offices. Key Features: Dual-Function Design: Acts as both a protective floor buffer and a powerful magnetic holder to keep doors securely open. Premium Stainless Steel Build: Crafted from high-quality SS to ensure a rust-proof performance and long-term resistance to wear. Integrated Rubber Buffer: Features a specialized rubber ring to absorb impact energy and provide a silent, cushioned stop. Low-Profile Half-Round Shape: The compact, dome-like design offers a minimalist aesthetic that integrates seamlessly with various flooring types. Stable Floor Mounting: Includes a reinforced base plate with dual screw-mounting points for a secure and permanent installation.","","","","","https://leadingedge.com.bd/product/door-stopper-magnet-ss-half-round-01-2702/","https://leadingedge.com.bd/wp-content/uploads/2026/05/4774-b-745x745-2.jpg, 01-2702"
"01-2705","Dust-Proof Floor Concealed Stopper, Kinlong","Table","Table Top",1100.0,"BDT",5,"Stainless Steel","","","","","inches","","","No - Fully assembled.","","","","Dust-Proof Floor Concealed Stopper, Kinlong 01-2705","","","","","https://leadingedge.com.bd/product/dust-proof-floor-concealed-stopper-kinlong-01-2705/",""
"01-2705-5","Tower Bolt Concil, SS / satin, Kinlong 8 inch, 01-2705","Others","",0.0,"BDT",5,"Stainless Steel","","","","","inches","","","No - Fully assembled.","","","","Tower Bolt Concil, SS / satin, Kinlon 8 inch, 01-2705","","","","","https://leadingedge.com.bd/product/tower-bolt-concil-ss-satin-kinlon-8-inch-01-2705/","https://leadingedge.com.bd/wp-content/uploads/2021/10/Tower-Bolt-Concil-Sssatin-Kinlon-8-01-270502.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/10/Tower-Bolt-Concil-Sssatin-Kinlon-8-01-270501.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/10/Tower-Bolt-Concil-Sssatin-Kinlon-8-01-270503.jpg"
"01-2710","Door Stoper SS Matte |","Table","Table Top",260.0,"BDT",5,"Stainless Steel, Wood","","","","","inches","","","No - Fully assembled.","","","","Door Stoper SS Matte | 01-2710 The Premium Stainless Steel Door Stopper is a heavy-duty, floor-engaging mechanical door stay engineered to provide exceptional stability and position-holding security for residential, commercial, and institutional doors. Designed as a reliable door-control solution, this foot-operated hardware mechanism allows users to effortlessly secure a door panel open at any desired angle, preventing unexpected closures, draft-induced swinging, and structural damage to surrounding walls. It offers high-tensile structural strength and absolute resistance to rust and environmental corrosion. Measuring a substantial 140 mm in size, it features a refined Matte finish that perfectly aligns with modern, industrial, and minimalist interior design schemes. The mechanism is equipped with a spring-loaded vertical plunger and a high-grip rubber tip at the base, which forms an unyielding friction lock against wood, tile, concrete, or carpeted floors without leaving marks. To guarantee flawless execution and perfect mechanical alignment for your custom interior project, please avoid taking cabinet measurements yourself; if necessary, contact the salesman for details. Key Features: Premium Stainless Steel Build: Crafted from high-grade SS to ensure long-lasting durability, exceptional weight resistance, and total protection against tarnishing. Ergonomic Foot Operation: Features a simple step-on plunger and quick-release mechanism that allows hands-free locking and unlocking for maximum daily convenience. Sleek Matte Finishing: Finished with a smooth, sophisticated matte surface treatment that coordinates beautifully with contemporary architectural hardware. Substantial 140 mm Profile: Sized proportionally at 140 mm to deliver optimal clearance and mechanical leverage for standard and heavy-duty entrance doors. High-Friction Protective Rubber Base: Equipped with a durable, non-slip rubber tip that establishes a firm grip on any flooring substrate while protecting surfaces from scratches.","","","","","https://leadingedge.com.bd/product/door-stoper-ss-matte-140mm-01-2710/","https://leadingedge.com.bd/wp-content/uploads/2021/06/WhatsApp-Image-2021-07-07-at-13.54.52-1.jpg, 01-2710, https://leadingedge.com.bd/wp-content/uploads/2021/06/WhatsApp-Image-2021-07-07-at-13.54.52.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/06/WhatsApp-Image-2021-07-07-at-13.54.50.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/06/WhatsApp-Image-2021-07-07-at-13.54.49-1.jpg"
"01-2801","Shower Glass Door Knob, Acrylic","Board","Board Panel",900.0,"BDT",5,"Glass","","","","","inches","","","No - Fully assembled.","","","","Shower Glass Door Knob, Acrylic 01-2801","","","","","https://leadingedge.com.bd/product/shower-glass-door-knob-acrylic-01-2801/","https://leadingedge.com.bd/wp-content/uploads/2021/06/Shower-Glass-Door-Knob-Acrelic-2.jpg, https://leadingedge.com.bd/wp-content/uploads/2021/06/Shower-Glass-Door-Knob-Acrelic-1.jpg"
"01-2802","Shower Glass Door Handle SS304 Dia25*300*500mm Matt","Hardware","Door Handle",1050.0,"BDT",5,"Glass","",1.0,1.0,"","inches","3 x 3 x 2 inches","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","","","","","","https://leadingedge.com.bd/product/shower-glass-door-handle-ss304-dia25-300-500mm-matt/",""
"01-2803","Shower Glass Door Handle SS304 25*25*225*450mm SSS","Hardware","Door Handle",1900.0,"BDT",5,"Glass","",1.0,1.0,8.9,"inches","4 x 4 x 12 inches","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","","","","","","https://leadingedge.com.bd/product/shower-glass-door-handle-ss304-25-25-225-450mm-sss/",""
"01-2804","Glass Door Handle Solid Black 450mm","Hardware","Door Handle",3465.0,"BDT",5,"Glass","Black","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","","","","","","https://leadingedge.com.bd/product/glass-door-handle-solid-black-450mm/",""
"01-2805","Shower Glass Door Handle PSS 10*40*600","Hardware","Door Handle",1520.0,"BDT",5,"Glass","",0.4,1.6,23.6,"inches","3 x 5 x 27 inches","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","","","","","","https://leadingedge.com.bd/product/shower-glass-door-handle-pss-10-40-600/",""
"01-2806","Glass Door Handle 25*38*300 SN","Hardware","Door Handle",5250.0,"BDT",5,"Glass","Black",1.0,1.5,11.8,"inches","4 x 4 x 15 inches","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","","","","","","https://leadingedge.com.bd/product/glass-door-handle-25-38-300-sn/",""
"01-2807","Shower Partition Glass Holder Φ19mm PSS","Hardware","Furniture Hardware",370.0,"BDT",5,"Glass","","","","","inches","","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","","","","","","https://leadingedge.com.bd/product/shower-partition-glass-holder-19mm-pss/",""
"01-2808","Glass Door Handle Kinlong 25*25*600 SN","Hardware","Door Handle",9500.0,"BDT",5,"Glass","",1.0,1.0,23.6,"inches","4 x 4 x 27 inches","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","Size: 38*25*0.8mm","","","","","https://leadingedge.com.bd/product/glass-door-handle-kinlong-25-25-600-sn/",""
"01-2809","Shower Glass Door Handle, PSS 25 X 38 X 450 mm,","Hardware","Door Handle",3465.0,"BDT",5,"Glass","",1.0,1.5,"","inches","3 x 4 x 2 inches","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","Shower Door Handle, Kinlong 25 X 25 X 500 mm, Satin 01-2809","","","","","https://leadingedge.com.bd/product/shower-glass-door-handle-pss-25-x-38-x-450-mm-01-2809/","https://leadingedge.com.bd/wp-content/uploads/2021/06/Shower-Glass-Door-Handle-PSS-2538450mm-01-2809.jpg"
"01-2810","Shower Adjustable Corner for Rail Φ19mm PSS","Table","Table",525.0,"BDT",5,"","","","","","inches","","","Yes - Leg/frame assembly required. Tools and guide included. Delivery team will assemble.","100 kg","","","","","","","","https://leadingedge.com.bd/product/shower-adjustable-corner-for-rail-19mm-pss/",""
"01-2811","Glass Door Handle Alu Kinlon 25*38*600 D.Gray","Hardware","Door Handle",8925.0,"BDT",5,"Glass","Grey",1.0,1.5,23.6,"inches","4 x 4 x 27 inches","","Requires assembly and mounting to furniture. Screws/accessories included.","","","","","","","","","https://leadingedge.com.bd/product/glass-door-handle-alu-kinlon-25-38-600-d-gray/",""
